Comment,Designator,Footprint,JLCPCB Part #（optional）
2.2u,"C1,C6",Capacitors_SMD:C_0603,C23630
22u,C14,Capacitors_SMD:C_0805,C782176
100n,"C25,C4,C28,C15,C22,C26,C23,C27,C19,C12,C10,C20,C29",Capacitors_SMD:C_0603,C14663
680p,"C3,C7",Capacitors_SMD:C_0603,C1630
68n,"C31,C30,C24,C21,C18,C17,C16,C13",Capacitors_SMD:C_0603,C31658
470n,"C33,C32",Capacitors_SMD:C_0603,C1623
150p,"C5,C8",Capacitors_SMD:C_0603,C1594
IRF7316,"Q1,Q2,Q3,Q4",MeineLibs:SO8E,C55887
MMBT3904,"Q5,Q7",TO_SOT_Packages_SMD:SOT-23,C20526
S9015,Q8,TO_SOT_Packages_SMD:SOT-23,C2149
IRF7341,"Q9,Q10,Q11,Q12",MeineLibs:SO8E,C21791
10K,"R21,R20,R22",Resistors_SMD:R_1206,C17902
10K,R68,Resistors_SMD:R_0603,C25804
27K,"R69,R67,R65,R90,R87,R74",Resistors_SMD:R_0603,C22967
300K,"R70,R76",Resistors_SMD:R_0603,C23024
15K,"R71,R66",Resistors_SMD:R_0603,C22809
1K,"R73,R2,R6,R10,R14,R4,R8,R12,R16",Resistors_SMD:R_1206,C4410
4.7K,R86 R72 R17 R19 R18 R1 R5 R9 R13 R3 R7 R11 R15 R77 R82 R78 R83 R79 R84 R81 R85,Resistors_SMD:R_1206,C17936
47K,R88,Resistors_SMD:R_0603,C25819
4.7K,R89,Resistors_SMD:R_0603,C23162
74HCT573,"U1,U2,U4",Housings_SOIC:SOIC-20_7.5x12.8mm_Pitch1.27mm,C5209384
74HC154,U14,MeineLibs:SOIC-24_7.5x15.4mm_Pitch1.27mm,C13758
IRL540,Q13 Q19 Q25 Q31 Q14 Q20 Q26 Q32 Q15 Q21 Q27 Q33 Q16 Q22 Q28 Q34 Q17 Q23 Q29 Q35 Q18 Q30 Q24 Q36,MeineLibs:TO220_GDS_BP,C111607
LM358,U20,MeineLibs:SO8E,C7950
ULN2803A,U3,Housings_SOIC:SOIC-18_7.5x11.6mm_Pitch1.27mm,C845537
74HCT273,"U5,U6,U16,U17,U18,U8,U11,U12,U15,U23",Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,C2652822
SD_adapter,P14,MeineLibs:uSD_TF-01,C91145
2x40 pin header,J1,"2,54mm",C2834348
CH3.96-9A,"1J6,1J7,2J12,2J13,sys11_1J10,sys11_1J11,sys11_1J12,sys11_1J6,sys11_1J7,sys11_1J8,sys7_1J2,sys7_2J10,sys7_2J11,sys7_2J2,sys7_2J3,sys7_2J4,sys7_2J5,sys7_2J6,sys7_2J7,sys7_2J9",CONN-TH_CH3.96-9A,C10586
CH3.96-4A,"10J2,10J4,1J4",CONN-TH_CH3.96-4A,C10379
CH3.96-12A,1J5,CONN-TH_CH3.96-12A,C10589
B-2100S36P-B110,P4,CONN_36_2x18,C168945
B-2100S12P-B110,P12,Lisy_Jumper_2x6,C124388
MTP125-1213S1,1J8,Display Segments 2_2x13,C358701
C68234,P11,Sys11_J21_2x8,C68234
B-2200S06P-B120,P7,CONN_3X2(Female),C124421
B-2200S06P-A120,P8,SD_card_1x6(Female),C124415
B-2100S04P-A110,P9,Ardu_pwr_1x4,C124378
PZ254V-11-02P,"P6,P13","CONN_2,1x2",C492401
A2541WV-6P,P1,"CONN_6,1x6",C225481
X6511WV-07H-C30D60,P2,"CONN_7,1x7",C706879
Z-211-0811-0021-001,P5,"CONN_8,1x8",C190820
Tacticle Switch,SW1,KEY-TH_4P,C273473
A09-472JP,"RR1,RR7",Array SIP-9 4.7K,C9112
1000uF 16V,C9,"Radial,10X16mm",C88751
100uF 25V,C2,"Radial,6.3X11mm",C106598
470uF 35V,C11,"Radial,10X12.5mm",C127917
LED red,D1,3mm,C2286
LED yellow,D2,3mm,C72038
LED green,D3,3mm,C72043
