Designator,Val,Package,MidX,MidY,Rotation,Layer
1J4,Diag Sw,Molex4,78.3336mm,-247.015mm,180.000000,top
1J5,Display Segments 1,Molex12,21.59mm,-211.98mm,-90.000000,top
1J6,Display Strobes 2,Molex9,21.59mm,-126.3904mm,-90.000000,top
1J7,Display Strobes 1,Molex9,21.59mm,-85.7504mm,-90.000000,top
1J8,Display Segments 2,pin_array_13x2_big_pads,22.860000,-166.370000,90.000000,top
2J12,Special Sol Drivers,Molex9,212.725mm,-43.7896mm,90.000000,top
2J13,Special Sol Triggers,Molex9,109.1946mm,-247.015mm,180.000000,top
10J2,Speakers,Molex4,201.5236mm,-247.015mm,180.000000,top
10J4,Volume,Molex4,180.5686mm,-247.015mm,180.000000,top
C1,2.2u,C_0603,171.450000,-220.345000,90.000000,top
C2,100u,C_Radial_D5_L11_P2.5,192.659000,-223.012000,90.000000,top
C3,680p,C_0603,179.070000,-225.425000,-90.000000,top
C4,100n,C_0603,180.340000,-168.910000,90.000000,top
C5,150p,C_0603,184.785000,-222.250000,180.000000,top
C6,2.2u,C_0603,171.450000,-227.965000,90.000000,top
C7,680p,C_0603,180.340000,-238.760000,-90.000000,top
C8,150p,C_0603,182.995000,-234.315000,180.000000,top
C9,1000u,C_Radial_D8_L13_P3.8,193.675000,-235.585000,180.000000,top
C10,100n,C_0603,204.470000,-224.790000,0.000000,top
C11,470u,C_Radial_D8_L13_P3.8,203.835000,-229.870000,180.000000,top
C12,100n,C_0603,186.055000,-233.160000,90.000000,top
C13,68n,C_0603,146.050000,-215.265000,0.000000,top
C14,10u,C_0805,149.225000,-183.515000,180.000000,top
C15,100n,C_0603,90.170000,-182.880000,180.000000,top
C16,68n,C_0603,147.955000,-217.170000,180.000000,top
C17,68n,C_0603,152.400000,-217.170000,0.000000,top
C18,68n,C_0603,154.305000,-215.265000,180.000000,top
C19,100n,C_0603,68.580000,-115.570000,90.000000,top
C20,100n,C_0603,113.030000,-214.630000,90.000000,top
C21,68n,C_0603,158.750000,-217.170000,0.000000,top
C22,100n,C_0603,46.990000,-82.550000,90.000000,top
C23,100n,C_0603,41.275000,-221.615000,0.000000,top
C24,68n,C_0603,160.655000,-215.265000,180.000000,top
C25,100n,C_0603,68.580000,-66.040000,-90.000000,top
C26,100n,C_0603,43.815000,-196.215000,90.000000,top
C27,100n,C_0603,43.815000,-151.765000,90.000000,top
C28,100n,C_0603,116.840000,-140.970000,180.000000,top
C29,100n,C_0603_1608Metric,203.200000,-170.180000,-90.000000,top
C30,68n,C_0603,165.100000,-217.170000,0.000000,top
C31,68n,C_0603,167.005000,-215.265000,180.000000,top
C32,470n,C_0603,197.485000,-224.790000,180.000000,top
C33,470n,C_0603,197.485000,-221.615000,180.000000,top
D1,LED_Red,LED_0603_1608Metric,175.260000,-68.882500,90.000000,top
D2,LED_Yellow,LED_0603_1608Metric,175.260000,-62.230000,90.000000,top
D3,LED_Green,LED_0603_1608Metric,175.260000,-55.547500,90.000000,top
J1,Raspberry_Pi,Raspi,162.560000,-104.140000,90.000000,top
P3,CONN_1,1pin,29.845000,-190.500000,0.000000,top
P4,CONN_36,pin_array_18x2_mirror_bp,118.745mm,-175.895mm,90.000000,top
P7,CONN_3X2,pin_array_3x2_mirror_big_pads,149.225000,-177.165000,90.000000,top
P11,Sys11_J21,pin_array_8x2_big_pads,92.710000,-146.685000,180.000000,top
P12,Lisy_Jumper,pin_array_6x2_big_pads,172.720000,-39.370000,-90.000000,top
P14,SD_ADAPTER,TF01A,207.5236mm,-157.855mm,90.000000,top
Q1,IRF7316,SO8E,60.198000,-38.862000,0.000000,top
Q2,IRF7316,SO8E,50.800000,-38.862000,0.000000,top
Q3,IRF7316,SO8E,41.148000,-38.862000,0.000000,top
Q4,IRF7316,SO8E,31.750000,-38.862000,0.000000,top
Q5,MMBT3904,SOT-23,179.705000,-161.290000,90.000000,top
Q7,MMBT3904,SOT-23,125.730000,-178.798220,-90.000000,top
Q8,S9015,SOT-23,35.560000,-191.770000,-90.000000,top
Q9,IRF7341,SO8E,100.330000,-38.735000,0.000000,top
Q10,IRF7341,SO8E,91.440000,-38.735000,0.000000,top
Q11,IRF7341,SO8E,81.280000,-38.735000,0.000000,top
Q12,IRF7341,SO8E,73.025000,-38.735000,0.000000,top
Q13,IRL540,TO220_GDS_BP,176.530000,-75.565000,0.000000,top
Q14,IRL540,TO220_GDS_BP,191.135000,-67.818000,0.000000,top
