Designator,Mid X,Mid Y,Layer,Rotation
P14,207.5236mm,-157.855mm,top,90.0
P4,118.745mm,-175.895mm,top,90.0
10J2,201.5236mm,-247.015mm,top,180.0
10J4,180.5686mm,-247.015mm,top,180.0
1J4,78.3336mm,-247.015mm,top,180.0
sys11_1J8,47.5996mm,-236.855mm,top,180.0
sys7_2J5,45.7454mm,-19.685mm,top,0.0
sys7_1J2,193.0146mm,-211.455mm,top,180.0
sys7_2J2,47.5996mm,-247.015mm,top,180.0
sys7_2J3,149.8346mm,-247.015mm,top,180.0
sys7_2J4,21.59mm,-45.1104mm,top,270.0
sys7_2J6,127.0254mm,-19.685mm,top,0.0
sys7_2J7,86.3854mm,-19.685mm,top,0.0
sys7_2J9,212.725mm,-128.8796mm,top,90.0
sys7_2J10,167.6654mm,-19.685mm,top,0.0
sys7_2J11,212.725mm,-86.3346mm,top,90.0
sys11_1J6,86.3854mm,-29.845mm,top,0.0
sys11_1J7,45.7454mm,-29.845mm,top,0.0
sys11_1J10,149.8346mm,-236.855mm,top,180.0
sys11_1J11,201.93mm,-86.3346mm,top,90.0
sys11_1J12,201.93mm,-128.8796mm,top,90.0
1J6,21.59mm,-126.3904mm,top,270.0
1J7,21.59mm,-85.7504mm,top,270.0
2J13,109.1946mm,-247.015mm,top,180.0
2J12,212.725mm,-43.7896mm,top,90.0
1J5,21.59mm,-211.98mm,top,270.0
SW1,199.95mm,-19.7mm,top,0.0
J1,162.56mm,-104.14mm,top,90.0
P13,144.145mm,-154.305mm,top,0.0
P2,179.959mm,-154.305mm,top,0.0
C9,193.548mm,-235.966mm,top,180.0
R21,124.46mm,-173.81mm,top,90.0
1PIN,213.995mm,-19.05mm,top,0.0
1PIN,20.32mm,-19.05mm,top,0.0
U14,38.1mm,-92.075mm,top,270.0
U21,210.82mm,-230.505mm,top,270.0
C11,203.835mm,-229.87mm,top,180.0
1PIN,213.995mm,-247.65mm,top,0.0
1PIN,20.32mm,-247.65mm,top,0.0
C2,192.659mm,-223.012mm,top,90.0
P7,149.225mm,-177.165mm,top,90.0
Q5,179.705mm,-161.29mm,top,90.0
RR1,111.125mm,-236.855mm,top,180.0
RR7,156.845mm,-227.33mm,top,180.0
P11,92.71mm,-146.685mm,top,180.0
U19,124.46mm,-222.25mm,top,0.0
Q7,125.73mm,-178.79822mm,top,270.0
Q8,35.56mm,-191.77mm,top,270.0
P3,29.845mm,-190.5mm,top,0.0
P10,159.385mm,-144.78mm,top,180.0
P12,172.72mm,-39.37mm,top,270.0
1J8,22.86mm,-166.37mm,top,90.0
P1,161.925mm,-154.305mm,top,0.0
P5,154.305mm,-202.565mm,top,180.0
P6,128.905mm,-202.565mm,top,180.0
P8,116.84mm,-144.78mm,top,180.0
P9,174.625mm,-202.565mm,top,180.0
Q1,60.198mm,-38.862mm,top,0.0
Q2,50.8mm,-38.862mm,top,0.0
Q3,41.148mm,-38.862mm,top,0.0
Q4,31.75mm,-38.862mm,top,0.0
Q9,100.33mm,-38.735mm,top,0.0
Q10,91.44mm,-38.735mm,top,0.0
Q11,81.28mm,-38.735mm,top,0.0
Q12,73.025mm,-38.735mm,top,0.0
RR8,153.035mm,-210.185mm,top,0.0
U20,184.15mm,-227.33mm,top,180.0
C1,171.45mm,-220.345mm,top,90.0
C3,179.07mm,-225.425mm,top,270.0
C4,180.34mm,-166.37mm,top,90.0
C5,184.785mm,-222.25mm,top,180.0
C6,171.45mm,-227.965mm,top,90.0
C7,180.34mm,-238.76mm,top,270.0
C8,182.995mm,-234.315mm,top,180.0
C10,204.47mm,-224.79mm,top,0.0
C12,186.055mm,-233.16mm,top,90.0
C13,146.05mm,-215.265mm,top,0.0
C14,149.225mm,-183.515mm,top,180.0
C16,147.955mm,-217.17mm,top,180.0
C17,152.4mm,-217.17mm,top,0.0
C18,154.305mm,-215.265mm,top,180.0
C19,68.58mm,-115.57mm,top,90.0
C21,158.75mm,-217.17mm,top,0.0
C22,46.99mm,-82.55mm,top,90.0
C23,41.275mm,-221.615mm,top,0.0
C24,160.655mm,-215.265mm,top,180.0
C25,68.58mm,-66.04mm,top,270.0
C27,43.815mm,-147.32mm,top,90.0
C28,116.84mm,-140.97mm,top,180.0
C30,165.1mm,-217.17mm,top,0.0
C31,167.005mm,-215.265mm,top,180.0
C32,197.485mm,-224.79mm,top,180.0
C33,197.485mm,-221.615mm,top,180.0
R65,177.165mm,-221.615mm,top,0.0
R66,189.23mm,-227.965mm,top,90.0
R67,188.595mm,-220.345mm,top,90.0
R68,184.15mm,-160.02mm,top,0.0
R69,181.61mm,-220.345mm,top,270.0
R71,179.705mm,-229.87mm,top,180.0
R74,174.625mm,-233.68mm,top,270.0
R76,204.47mm,-222.885mm,top,0.0
R87,180.34mm,-233.68mm,top,90.0
R88,22.225mm,-185.42mm,top,0.0
R90,182.88mm,-236.728mm,top,180.0
U3,50.165mm,-71.12mm,top,90.0
R77,167.64mm,-220.98mm,top,270.0
R78,161.29mm,-220.98mm,top,270.0
R79,154.94mm,-220.98mm,top,270.0
R81,148.59mm,-220.98mm,top,270.0
R82,164.465mm,-220.98mm,top,270.0
R83,158.115mm,-220.98mm,top,270.0
R84,151.765mm,-220.98mm,top,270.0
R85,145.415mm,-220.98mm,top,270.0
R86,118.11mm,-207.01mm,top,180.0
C26,43.815mm,-200.152mm,top,90.0
R1,59.69mm,-45.72mm,top,180.0
R2,58.42mm,-50.165mm,top,270.0
R3,63.5mm,-48.895mm,top,0.0
R4,63.5mm,-52.07mm,top,180.0
R5,50.165mm,-45.72mm,top,180.0
R6,48.26mm,-50.165mm,top,270.0
R7,53.34mm,-48.895mm,top,0.0
R8,53.34mm,-52.07mm,top,180.0
R9,40.005mm,-45.72mm,top,180.0
R10,38.735mm,-50.165mm,top,270.0
R11,43.18mm,-48.895mm,top,0.0
R12,43.18mm,-52.07mm,top,180.0
R13,30.48mm,-45.72mm,top,180.0
R14,29.21mm,-50.165mm,top,270.0
R15,33.655mm,-48.895mm,top,0.0
R16,33.655mm,-52.07mm,top,180.0
R17,172.085mm,-69.215mm,top,90.0
R18,171.45mm,-55.88mm,top,90.0
R19,171.45mm,-62.23mm,top,90.0
R73,173.99mm,-163.83mm,top,0.0
U1,88.9mm,-173.99mm,top,270.0
U2,72.39mm,-184.15mm,top,0.0
Q13,176.53mm,-75.565mm,top,0.0
Q14,191.135mm,-67.818mm,top,0.0
Q15,176.53mm,-116.84mm,top,0.0
Q16,191.135mm,-109.982mm,top,0.0
Q17,201.295mm,-35.687mm,top,0.0
Q18,187.325mm,-51.435mm,top,0.0
Q19,176.53mm,-84.455mm,top,0.0
Q20,191.135mm,-78.867mm,top,0.0
Q21,176.53mm,-125.984mm,top,0.0
Q22,191.135mm,-119.38mm,top,0.0
Q23,201.295mm,-46.609mm,top,0.0
Q24,187.325mm,-31.877mm,top,0.0
Q25,176.53mm,-93.98mm,top,0.0
Q26,191.135mm,-87.503mm,top,0.0
Q27,176.53mm,-134.112mm,top,0.0
Q28,191.135mm,-129.413mm,top,0.0
Q29,187.325mm,-59.055mm,top,0.0
Q30,201.295mm,-55.245mm,top,0.0
Q31,176.53mm,-101.6mm,top,0.0
Q32,191.135mm,-96.52mm,top,0.0
Q33,176.53mm,-141.986mm,top,0.0
Q34,191.135mm,-141.986mm,top,0.0
Q35,187.325mm,-40.005mm,top,0.0
Q36,201.295mm,-27.051mm,top,0.0
C15,90.17mm,-182.88mm,top,180.0
C20,113.03mm,-214.63mm,top,90.0
R20,154.305mm,-106.68mm,top,90.0
U4,102.87mm,-161.29mm,top,90.0
R89,127mm,-165.1mm,top,270.0
R70,177.8mm,-166.37mm,top,90.0
R72,125.55mm,-169.545mm,top,0.0
U5,76.835mm,-87.63mm,top,0.0
U6,76.835mm,-48.26mm,top,0.0
U8,52.07mm,-138.43mm,top,0.0
U11,52.07mm,-151.765mm,top,0.0
U12,52.07mm,-205.74mm,top,0.0
U15,52.07mm,-187.325mm,top,0.0
U16,76.835mm,-102.362mm,top,0.0
U17,76.835mm,-121.666mm,top,0.0
U18,76.835mm,-66.04mm,top,0.0
U23,52.07mm,-220.98mm,top,0.0
R22,155.575mm,-158.75mm,top,270.0
C29,203.2mm,-170.18mm,top,270.0
D1,175.26mm,-68.8825mm,top,90.0
D2,175.26mm,-62.23mm,top,90.0
D3,175.26mm,-55.5475mm,top,90.0
